Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,Accident_date,claim_date,year_claim,Accident_datetime,claim_datetime,days_btw_claim
12,3,1,3,1,3,12,3,0,2,0.6695463160326699,2,4,2,2,0,7,-0.1756301196323356,4.0,4,0,8,7,0,2,0,1,-1.0800655146048157,3,-0.617731691465101,15,17,-1.172876217116909,0.46499868598924504,0.6045375064743883,-0.47878219729240407
6,4,5,1,1,4,6,5,0,1,-0.7288371586902919,1,4,2,2,0,5,-0.1756301196323356,4.0,4,3,6,5,0,0,0,1,-1.0800655146048157,3,2.879676878777039,26,30,-1.172876217116909,1.008274882957385,1.1018787655758817,-0.46266810773040895
11,2,5,8,1,1,11,2,0,1,-0.2136432469502533,1,5,2,6,0,11,-0.1756301196323356,3.0,4,3,7,6,0,0,0,1,-1.0800655146048157,2,1.9205537985576664,12,8,-0.046505565716158846,0.5692319098261556,-0.3491874962731816,2.4136968790857276
5,1,1,1,2,3,5,4,0,1,-2.9368110661476,1,3,1,6,0,15,-0.1756301196323356,4.0,4,0,8,1,0,0,0,1,-1.0800655146048157,1,2.091218361944457,1,24,-1.172876217116909,1.1851555052260818,1.2101236278509127,-0.3095842568914549
5,1,3,5,1,1,5,2,1,1,-0.9496345494360227,1,5,2,2,0,4,-0.1756301196323356,4.0,4,0,6,5,0,1,0,1,-1.0800655146048157,2,-0.7441124114193491,3,8,-1.172876217116909,1.178838340145057,1.2569322169428179,-0.45461106294941134
11,1,1,2,1,1,11,3,0,1,-0.7288371586902919,1,4,2,3,0,5,-0.1756301196323356,4.0,4,0,5,5,0,0,0,1,-1.0800655146048157,3,-0.696797644556717,1,15,-1.172876217116909,0.6039763177717925,0.6981546846581989,-0.38209765992043315
9,2,2,6,1,5,1,4,0,2,0.6695463160326699,1,6,3,4,0,6,-0.1756301196323356,4.0,4,0,8,7,0,0,0,1,-1.0800655146048157,2,-0.6196369721863638,9,26,-0.046505565716158846,0.771381192418952,0.4875160337446251,0.6250329377042643
11,4,7,1,1,5,1,3,0,1,-2.9368110661476,2,4,2,6,0,3,-0.1756301196323356,2.0,4,3,8,1,0,0,0,1,-1.0800655146048157,3,2.0078644079711214,28,19,-0.046505565716158846,0.5186945891779565,0.5079947914723336,-0.0759299582425251
2,5,1,2,1,2,3,1,0,2,-1.0232336796845996,1,3,1,2,0,13,-0.1756301196323356,3.0,4,3,7,5,0,3,4,2,-1.0800655146048157,1,-0.744209930341425,28,2,-1.172876217116909,1.3809876227378532,1.4529431837651712,-0.47878219729240407
12,1,5,6,1,2,12,2,0,1,0.595947185784093,1,5,2,2,0,1,-0.1756301196323356,1.0,4,0,7,7,0,0,0,1,-1.0800655146048157,2,-0.6538571817608664,5,9,-1.172876217116909,0.49658451139436943,0.6279418010203409,-0.46266810773040895
12,4,5,3,1,1,1,2,0,1,-0.6552380284417149,1,4,2,2,0,6,-0.1756301196323356,3.0,4,0,7,5,0,0,0,1,-1.0800655146048157,3,-0.7331690425476057,26,8,-0.046505565716158846,0.43025427804360816,0.5401756964730186,-0.3901547047014307
3,3,5,9,1,5,3,3,0,1,0.007154143795477499,2,5,2,6,0,16,-0.1756301196323356,2.0,4,1,7,6,0,3,0,1,-1.0800655146048157,2,1.0051572345377053,19,19,-1.172876217116909,1.3209745544681168,1.4032090578550218,-0.49489628685439924
8,4,4,3,1,1,8,5,0,2,1.8471324000099008,1,3,1,3,0,12,-0.1756301196323356,1.0,4,3,8,8,0,3,0,1,-1.0800655146048157,1,2.8467515303303004,25,29,-1.172876217116909,0.8187599305266385,0.926346556481237,-0.46266810773040895
1,1,7,2,1,2,1,1,0,2,1.773533269761324,1,5,2,2,0,5,-0.1756301196323356,1.0,4,1,8,8,0,0,0,1,-1.0800655146048157,2,-0.7424968214270758,7,2,-0.046505565716158846,1.5452339148445002,0.557728917382483,2.40563983430473
1,1,7,1,1,3,1,1,0,2,1.1111410975241316,1,3,1,2,0,12,-0.1756301196323356,2.0,4,3,7,7,0,3,0,1,-1.0800655146048157,1,-0.5188339844845145,7,3,-0.046505565716158846,1.5452339148445002,0.554803380564239,2.4136968790857276
1,1,7,1,1,3,1,1,0,1,0.3015506647897852,1,5,2,2,0,16,-0.1756301196323356,1.0,4,3,7,6,0,2,0,1,-1.0800655146048157,2,-0.5806056949732955,7,3,-0.046505565716158846,1.5452339148445002,0.554803380564239,2.4136968790857276
1,1,2,3,1,4,1,1,0,2,-0.9496345494360227,1,5,2,2,0,9,-0.1756301196323356,3.0,4,1,6,5,0,1,0,1,-1.0800655146048157,2,-0.7326192657347385,2,4,-1.172876217116909,1.5610268275470625,1.6196987824050837,-0.47878219729240407
9,4,4,5,1,1,1,5,1,1,-0.8760354191874457,2,5,2,2,0,5,-0.1756301196323356,3.0,3,1,5,5,0,0,0,1,-1.0800655146048157,2,-0.5533909488974919,25,29,-0.046505565716158846,0.7208438717707528,0.4787394232898929,0.5202913555512958
4,5,6,3,1,2,5,1,0,2,1.4791367487670162,2,5,2,6,0,12,-0.1756301196323356,3.0,4,4,7,8,0,3,0,1,-1.0800655146048157,2,1.5028886092711815,30,2,-1.172876217116909,1.1883140877665943,1.2744854378522825,-0.47878219729240407
8,1,6,4,1,3,8,4,0,2,-0.5080397679445611,2,5,2,3,0,9,-0.1756301196323356,4.0,4,4,6,5,0,0,0,1,-1.0800655146048157,2,-0.3842377011433626,6,24,-1.172876217116909,0.8787729987963749,0.9409742405724574,-0.3498694807964428
10,4,2,5,1,1,1,1,0,2,-0.9496345494360227,2,4,2,2,0,1,-0.1756301196323356,3.0,4,0,6,5,0,0,0,1,-1.0800655146048157,3,-0.7504002024392912,23,1,-0.046505565716158846,0.6324035606364045,0.5606544542007271,0.06909684781543132
2,2,5,1,1,2,2,3,1,2,0.522348055535516,2,2,1,6,0,12,-0.1756301196323356,3.0,4,0,8,7,0,0,0,1,-1.0800655146048157,2,2.2562318388129254,12,16,-1.172876217116909,1.4315249433860524,1.4939006992205883,-0.46266810773040895
2,2,5,10,2,2,2,3,1,1,-0.8024362889388688,1,3,1,3,0,16,-0.1756301196323356,1.0,4,3,5,5,0,2,0,1,-1.0800655146048157,1,1.2414836344092108,12,16,-1.172876217116909,1.4315249433860524,1.4939006992205883,-0.46266810773040895
2,4,6,2,1,5,3,1,1,2,-0.5080397679445611,2,5,2,3,0,10,-0.1756301196323356,1.0,4,3,7,5,0,3,0,1,-1.0800655146048157,2,2.2764534772675584,27,5,-1.172876217116909,1.3841462052783657,1.444166573310439,-0.4465540181684138
1,3,4,3,1,5,1,4,0,1,-0.2136432469502533,2,3,1,2,0,6,-0.1756301196323356,2.0,4,1,7,6,0,0,0,1,-1.0800655146048157,1,-0.5224669186631268,18,26,-1.172876217116909,1.5104895068988635,1.555336972403714,-0.4304399286064186
11,5,2,2,1,5,2,1,1,2,0.3015506647897852,1,3,1,2,0,9,-0.1756301196323356,4.0,4,0,6,6,0,1,0,1,-1.0800655146048157,1,-0.7642386175738303,30,5,-0.046505565716158846,0.5123774240969317,0.4582606655621843,0.04492571347243859
12,1,3,1,1,1,1,1,0,1,-2.9368110661476,1,3,1,6,0,6,-0.1756301196323356,2.0,4,4,8,1,0,0,4,2,-1.0800655146048157,1,1.301285591453355,3,1,-0.046505565716158846,0.5029016764753943,0.5606544542007271,-0.26124198820546946
12,2,2,5,2,2,3,1,0,2,-0.9496345494360227,1,7,3,6,0,4,-0.1756301196323356,4.0,4,1,6,5,0,3,0,1,-1.0800655146048157,1,1.0089310055560958,9,2,-0.046505565716158846,0.4839501812323197,0.38512224510608234,0.17383842996839985
5,4,7,3,1,3,5,4,0,1,-0.06644498645309943,2,4,2,2,0,1,-0.1756301196323356,2.0,4,3,4,6,0,3,0,1,-1.0800655146048157,3,-0.6649637652994355,28,24,-0.046505565716158846,1.099873776632246,0.14230268919182376,2.4136968790857276
10,5,6,6,1,1,10,5,0,2,2.509524572247093,2,4,2,3,0,13,-0.1756301196323356,4.0,4,0,7,9,0,2,0,1,-1.0800655146048157,3,-0.636239328812679,31,29,-0.046505565716158846,0.6071349003123049,-0.3199321280907408,2.4298109686477227
10,4,7,1,1,2,10,4,1,1,-1.0968328099331766,2,2,1,6,0,2,-0.1756301196323356,1.0,4,0,6,4,0,3,0,1,-1.0800655146048157,2,1.2086030784155157,28,23,-0.046505565716158846,0.6166106479338422,-0.3023789071812763,2.40563983430473
1,2,3,6,1,3,1,2,0,1,-0.14004411670167638,1,3,1,2,0,13,-0.1756301196323356,2.0,4,4,7,6,0,2,2,1,-1.0800655146048157,1,-0.10075748386240578,10,10,-1.172876217116909,1.535758167222963,1.6021455614956193,-0.49489628685439924
8,4,6,6,1,1,8,5,0,2,-0.14004411670167638,1,5,2,2,0,13,6.733750489149868,3.0,4,3,7,6,0,3,0,1,-1.0800655146048157,2,-0.7749714147963682,27,29,-1.172876217116909,0.8124427654456137,0.926346556481237,-0.47878219729240407
5,2,2,1,1,4,5,2,0,2,1.5527358790155932,2,5,2,3,0,15,-0.1756301196323356,4.0,4,0,8,8,0,3,0,1,-1.0800655146048157,2,-0.6029626690571646,9,11,-1.172876217116909,1.1598868449019824,1.2481556064880857,-0.47878219729240407
11,2,5,2,1,2,1,1,0,2,-0.14004411670167638,1,5,2,2,1,7,-0.1756301196323356,2.0,4,1,7,6,0,0,0,1,-1.0800655146048157,2,-0.6619355892020009,12,2,-0.046505565716158846,0.5692319098261556,0.557728917382483,-0.08398700302352269
11,3,1,6,1,3,1,4,0,2,0.08075327404405443,2,4,2,2,0,12,-0.1756301196323356,4.0,4,3,7,6,0,0,0,1,-1.0800655146048157,3,-0.772842617228002,15,24,-0.046505565716158846,0.5597561622046183,0.4933671073811133,0.06909684781543132
11,3,2,5,1,3,1,2,0,2,-0.6552380284417149,1,8,3,6,1,2,-0.1756301196323356,1.0,4,4,7,5,0,3,0,1,-1.0800655146048157,3,1.029430507141844,16,10,-0.046505565716158846,0.5565975796641058,0.5343246228365304,-0.05175882389953237
1,5,6,6,1,1,1,5,1,2,-0.3608415074474072,2,4,2,2,0,10,-0.1756301196323356,4.0,4,1,6,5,0,0,0,1,-1.0800655146048157,3,-0.5722317877565622,31,29,-0.046505565716158846,1.4694279338722016,0.4787394232898929,2.4298109686477227
1,4,5,4,1,1,2,1,1,2,-0.2136432469502533,1,4,2,6,0,14,2.1274967499617325,2.0,4,3,6,6,0,2,0,1,-1.0800655146048157,3,1.127569650962859,26,1,-1.172876217116909,1.4852208465747638,1.5377837514942496,-0.4465540181684138
1,1,4,3,1,2,1,2,0,2,1.1111410975241316,1,4,2,2,0,14,-0.1756301196323356,3.0,4,0,8,7,0,3,0,1,-1.0800655146048157,3,-0.6215048702861142,4,9,-1.172876217116909,1.5547096624660377,1.6050710983138634,-0.45461106294941134
1,1,2,6,1,4,1,1,0,1,-0.6552380284417149,2,4,2,2,0,12,-0.1756301196323356,4.0,4,3,7,5,0,1,0,1,-1.0800655146048157,3,-0.6483298290012027,2,4,-1.172876217116909,1.5610268275470625,1.6196987824050837,-0.47878219729240407
8,1,1,3,1,4,8,1,0,2,-0.8760354191874457,1,5,2,2,0,11,-0.1756301196323356,2.0,4,3,7,5,0,0,0,1,-1.0800655146048157,2,-0.7888355150145635,1,4,-1.172876217116909,0.8945659114989372,0.999484976937339,-0.4707251525114065
6,1,4,5,1,4,10,4,0,2,0.522348055535516,1,4,2,2,0,1,-0.1756301196323356,1.0,4,1,8,7,0,0,0,1,-1.0800655146048157,3,-0.6635240294085127,4,25,-1.172876217116909,1.0777636988486587,0.7595909578413245,0.6572611168282546
5,2,2,2,1,5,9,1,0,1,-1.2440310704303303,1,5,2,2,0,4,-0.1756301196323356,2.0,4,3,5,4,0,0,0,1,-1.0800655146048157,2,-0.7197352432892108,9,5,-1.172876217116909,1.1598868449019824,0.9058677987535284,0.46389204208431273
11,4,4,1,1,4,12,5,0,2,-0.3608415074474072,2,4,2,2,0,9,-0.1756301196323356,1.0,4,0,6,5,0,0,0,1,-1.0800655146048157,3,-0.7374422044452411,25,31,-1.172876217116909,0.5281703367994939,0.5635799910189712,-0.20484267473848639
12,4,1,5,1,3,1,1,0,2,0.7431454462812468,2,5,2,2,0,2,-0.1756301196323356,3.0,4,1,8,7,0,3,0,1,-1.0800655146048157,2,-0.646487764590629,22,3,-0.046505565716158846,0.44288860820565795,0.554803380564239,-0.39821174948242827
12,2,2,1,1,3,1,2,0,1,-1.759224982170369,2,2,1,6,0,2,-0.1756301196323356,1.0,4,3,4,2,0,2,0,1,-1.0800655146048157,2,2.24584581893812,9,10,-0.046505565716158846,0.4839501812323197,0.5343246228365304,-0.2370708538624767
8,2,1,6,1,2,8,5,0,1,-0.8760354191874457,1,3,1,2,0,4,-0.1756301196323356,3.0,4,3,6,5,0,2,0,1,-1.0800655146048157,1,-0.6580789334251478,8,30,-1.172876217116909,0.8724558337153501,0.923421019662993,-0.31764130167245247
11,5,1,3,1,3,12,1,0,1,2.0679297907556315,1,4,2,2,1,9,-0.1756301196323356,3.0,4,3,5,9,0,0,0,1,-1.0800655146048157,3,-0.811365974721509,29,3,-1.172876217116909,0.5155360066374441,0.6454950219298053,-0.46266810773040895
12,1,5,1,2,5,12,3,0,1,-2.9368110661476,1,4,2,6,1,7,-0.1756301196323356,3.0,4,0,8,1,0,0,0,1,-1.0800655146048157,3,1.7064102015780722,5,19,-1.172876217116909,0.49658451139436943,0.5986864328379001,-0.38209765992043315
2,1,5,1,2,5,3,3,0,1,-2.9368110661476,1,4,2,6,0,8,-0.1756301196323356,3.0,4,0,8,1,0,0,0,1,-1.0800655146048157,3,1.4764652518125885,5,19,-1.172876217116909,1.4536350211696394,1.4032090578550218,-0.1565004060525009
6,3,1,6,1,1,6,3,0,1,-0.7288371586902919,1,5,2,6,0,2,-0.1756301196323356,1.0,4,4,6,5,0,1,0,1,-1.0800655146048157,2,1.3446380838978818,15,15,-1.172876217116909,1.043019290903022,1.145761817849543,-0.49489628685439924
4,4,2,1,1,2,4,4,0,2,0.8167445765298238,1,5,2,2,0,1,-0.1756301196323356,4.0,4,4,8,7,0,0,0,3,-1.0800655146048157,2,-0.3310559622728687,23,23,-1.172876217116909,1.2104241655501815,1.3008152692164792,-0.49489628685439924
2,2,7,2,1,1,2,2,0,1,-1.3176302006789073,2,4,2,3,0,6,-0.1756301196323356,3.0,4,0,6,4,0,2,0,1,-1.0800655146048157,3,-0.7917654918298391,14,8,-0.046505565716158846,1.4252077783050274,0.4494840551074521,2.3975827895237325
1,4,6,7,1,1,3,1,0,2,0.9639428370269776,1,5,2,3,0,15,-0.1756301196323356,2.0,4,0,8,7,0,0,4,2,-1.0800655146048157,2,-0.8507539805995451,27,1,-1.172876217116909,1.4820622640342516,1.4558687205834153,-0.2290138090814791
1,4,7,5,2,1,1,4,0,2,-0.9496345494360227,2,3,1,3,0,9,-0.1756301196323356,3.0,4,4,6,5,0,0,0,1,-1.0800655146048157,1,-0.422211504374276,28,22,-0.046505565716158846,1.478903681493739,0.4992181810176014,2.3975827895237325
11,4,1,1,1,2,11,4,0,1,-0.8024362889388688,1,5,2,2,0,14,-0.1756301196323356,3.0,4,3,7,5,0,2,0,1,-1.0800655146048157,2,-0.822316261283114,22,23,-1.172876217116909,0.5376460844210312,0.6747503901122461,-0.4868392420734017
7,2,5,6,1,5,7,2,0,1,-0.581638898193138,1,5,2,2,0,10,-0.1756301196323356,1.0,4,4,5,5,0,3,0,1,-1.0800655146048157,2,-0.11827060664893589,12,12,-1.172876217116909,0.957737562309186,1.0667723237569529,-0.49489628685439924
4,4,4,1,1,5,4,4,0,1,-1.612026721673215,2,5,2,2,0,14,-0.1756301196323356,3.0,4,0,3,3,0,3,0,1,-1.0800655146048157,2,-0.5319477515208695,25,26,-1.172876217116909,1.2041070004691565,1.292038658761747,-0.4868392420734017
10,3,4,6,1,4,10,4,0,2,1.4791367487670162,2,5,2,2,0,6,-0.1756301196323356,4.0,4,3,8,8,0,1,0,1,-1.0800655146048157,2,-0.5101053565517176,18,25,-1.172876217116909,0.6481964733389667,0.7595909578413245,-0.43849697338741617
3,2,1,2,1,2,3,4,0,2,0.08075327404405443,2,5,2,2,0,9,-0.1756301196323356,4.0,4,1,7,6,0,3,0,1,-1.0800655146048157,2,-0.6954888929092309,8,23,-1.172876217116909,1.3557189624137538,1.3915069105820457,-0.37404061513943554
2,4,1,2,1,3,3,1,0,2,-0.8024362889388688,1,4,2,2,0,9,-0.1756301196323356,4.0,4,0,7,5,0,3,0,1,-1.0800655146048157,3,-0.6262249006107461,22,3,-1.172876217116909,1.399939117980928,1.4500176469469273,-0.42238288382542105
12,4,3,9,1,4,1,1,0,2,0.15435240429263136,1,4,2,2,0,2,-0.1756301196323356,2.0,4,4,7,6,0,0,0,1,-1.0800655146048157,3,-0.3328460040126037,24,4,-0.046505565716158846,0.43657144312463303,0.5518778437459948,-0.4062687942634259
