Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,Accident_date,claim_date,year_claim,Accident_datetime,claim_datetime,days_btw_claim
12,2,5,5,1,4,4,3,0,2,-0.27551426928426365,2,4,2,6,13,-0.17473311238742065,4,4,0,7,6,0,0,0,3,-1.0742859917743628,3,-0.6533273695869496,12,18,-0.04954381813333732,0.4672692159767446,0.2433050053106289,0.5230984053194937
5,4,2,2,1,3,5,4,0,1,-0.9531668690870089,1,5,2,2,14,-0.17473311238742065,3,4,1,6,5,0,3,0,1,-1.0742859917743628,2,0.987546466598957,23,24,-1.1664527006153784,1.1054653826320786,1.2024490053803798,-0.48820366403845433
10,4,7,1,1,1,10,4,0,1,-1.2543458023326735,1,3,1,2,8,-0.17473311238742065,2,4,3,4,4,0,0,0,1,-1.0742859917743628,1,-0.6951830399864994,28,22,-0.04954381813333732,0.6087412726244787,-0.3018619491363116,2.385178406042065
1,2,4,1,1,1,1,4,0,2,0.10095939727281704,1,4,2,3,16,-0.17473311238742065,1,4,3,7,6,0,0,0,1,-1.0742859917743628,3,-0.5983710429588862,11,22,-1.1664527006153784,1.5204500821320988,1.5581194248591326,-0.4079415950417918
11,2,4,1,1,5,1,3,0,1,-0.42610373590709594,1,2,1,6,7,-0.17473311238742065,3,4,0,7,5,0,2,0,1,-1.0742859917743628,2,-0.8358906295252503,11,19,-0.04954381813333732,0.5647277438896281,0.5027694916516862,0.0575784051388509
1,3,4,2,1,1,1,4,0,1,0.025664663961400897,1,4,2,1,4,-0.17473311238742065,4,4,1,7,6,0,0,0,1,-1.0742859917743628,3,-0.515350048273463,18,22,-1.1664527006153784,1.4984433177646734,1.5581194248591326,-0.4641250433394556
1,4,5,6,1,1,1,5,0,2,-0.27551426928426365,1,4,2,2,10,-0.17473311238742065,1,4,1,7,6,0,0,0,1,-1.0742859917743628,3,2.110263442877059,26,29,-1.1664527006153784,1.4732927299161873,1.5377121057087122,-0.4721512502391218
12,3,5,7,1,6,12,3,0,2,-0.8778721357755928,1,3,1,6,5,-0.17473311238742065,1,4,0,7,5,0,1,4,2,-1.0742859917743628,1,-0.11251319102896429,19,20,-1.1664527006153784,0.4452624516093193,0.5902294308677729,-0.48820366403845433
11,4,7,6,1,4,4,2,0,2,0.32684359720706546,2,4,2,2,11,-0.17473311238742065,1,4,0,7,6,0,0,0,1,-1.0742859917743628,3,1.8746499062723552,28,11,-0.04954381813333732,0.5112827447115953,0.26371232446104914,0.5792818536171574
3,1,4,1,1,5,3,1,0,2,0.025664663961400897,1,3,1,2,16,-0.17473311238742065,4,4,0,6,6,0,0,0,1,-1.0742859917743628,1,0.11666218061412383,4,5,-1.1664527006153784,1.3569712611169393,1.4356755099566112,-0.48820366403845433
11,4,4,8,2,2,1,2,0,2,1.2303803969440592,1,8,3,6,10,-0.17473311238742065,2,4,0,8,8,0,0,0,1,-1.0742859917743628,3,1.3857462820232882,25,9,-0.04954381813333732,0.5207142151547776,0.5319228047237151,-0.13505056045313912
11,5,2,6,1,2,11,5,0,2,-0.5766932025299282,2,5,2,3,12,-0.17473311238742065,2,4,1,7,5,0,3,0,1,-1.0742859917743628,2,-0.574443024334265,30,30,-1.1664527006153784,0.5049950977494737,0.6485360570118307,-0.4962298709381206
10,2,3,1,2,1,10,3,1,2,-1.6308194688897542,2,2,1,6,12,-0.17473311238742065,4,4,0,2,3,0,1,0,1,-1.0742859917743628,2,2.2977893795948083,10,15,-1.1664527006153784,0.6653300952835725,0.7826412971431637,-0.4560988364397893
2,2,6,6,1,1,2,2,1,2,-1.028461602398425,1,3,1,2,16,-0.17473311238742065,4,4,3,7,5,0,3,0,1,-1.0742859917743628,1,0.9821043827961212,13,8,-0.04954381813333732,1.4167039072570937,0.44446286550762837,2.393204612941731
1,4,7,3,1,2,1,5,0,2,-0.12492480266143138,1,3,1,3,13,-0.17473311238742065,3,4,3,7,6,0,3,0,1,-1.0742859917743628,1,-0.23975613681804914,28,30,-1.1664527006153784,1.467005082954066,1.5347967744015094,-0.48017745713878807
10,3,5,4,1,5,10,3,0,2,1.0044961970098107,1,5,2,6,12,-0.17473311238742065,3,4,0,8,7,0,3,0,1,-1.0742859917743628,2,-0.6628156486671678,19,19,-1.1664527006153784,0.6370356839540255,0.7709799719143521,-0.4962298709381206
4,1,2,1,1,5,4,2,0,1,-0.8025774024641766,1,5,2,2,16,-0.17473311238742065,4,4,1,6,5,0,1,0,1,-1.0742859917743628,2,1.028636533027574,2,12,-1.1664527006153784,1.2658003801661772,1.3248929202829012,-0.41596780194145805
3,2,7,6,1,1,3,2,0,2,-0.8025774024641766,1,5,2,2,6,-0.17473311238742065,2,4,1,7,5,0,3,0,1,-1.0742859917743628,2,-0.5764312066689887,14,8,-0.04954381813333732,1.3255330263063316,0.3628335889059474,2.385178406042065
10,5,5,2,1,5,2,1,0,2,-0.42610373590709594,1,4,2,1,9,-0.17473311238742065,2,4,0,7,5,0,1,0,1,-1.0742859917743628,3,-0.7758486084664538,31,5,-0.04954381813333732,0.5993098021812965,0.453208859429237,0.2823121983295061
7,3,1,1,1,2,7,3,0,2,0.8539067303869784,1,2,1,6,11,-0.17473311238742065,4,4,1,8,7,0,2,0,1,-1.0742859917743628,2,-0.7216672930414801,15,16,-1.1664527006153784,0.9388427381358584,1.0479364460986267,-0.48820366403845433
2,3,3,2,2,5,2,4,0,1,-1.1037563357098412,2,3,1,2,1,-0.17473311238742065,4,4,3,5,4,0,2,0,1,-1.0742859917743628,1,1.8871875758379333,17,26,-1.1664527006153784,1.4041286133328508,1.4560828291070314,-0.4239940088411243
9,3,6,3,1,2,9,3,0,1,-0.501398469218512,2,3,1,3,10,-0.17473311238742065,1,4,0,6,5,0,0,0,1,-1.0742859917743628,1,-0.7752476310582688,20,16,-0.04954381813333732,0.7282065649047876,-0.19691002207700753,2.4012308198413974
6,1,2,8,1,4,6,2,0,1,-0.7272826691527605,1,5,2,3,13,-0.17473311238742065,1,4,0,6,5,0,0,0,1,-1.0742859917743628,2,-0.7243827267852658,2,11,-1.1664527006153784,1.0740271478214711,1.149973041850728,-0.4239940088411243
5,4,1,3,1,1,5,4,0,3,0.7786119970755623,1,5,2,2,15,-0.17473311238742065,4,4,0,8,7,0,0,0,1,-1.0742859917743628,2,-0.8192930156506756,22,22,-1.1664527006153784,1.1086092061131394,1.2082796679947856,-0.4962298709381206
1,3,5,1,1,1,1,3,0,2,1.9080329967468044,2,4,2,2,8,-0.17473311238742065,2,4,1,8,8,0,0,0,1,-1.0742859917743628,3,-0.7890574478647729,19,15,-0.04954381813333732,1.4952994942836126,0.5144308168804977,2.4012308198413974
3,1,6,3,1,1,3,3,0,1,-0.8025774024641766,1,3,1,2,7,-0.17473311238742065,2,4,3,7,5,0,3,0,1,-1.0742859917743628,1,-0.8265843442056083,6,15,-1.1664527006153784,1.3506836141548177,1.4065221968845822,-0.4239940088411243
2,2,1,2,1,1,2,2,0,1,-0.8778721357755928,1,3,1,3,2,-0.17473311238742065,4,4,3,6,5,0,1,0,1,-1.0742859917743628,1,-0.8305643270412704,8,8,-1.1664527006153784,1.4324230246623975,1.5085587926366832,-0.4962298709381206
1,1,6,5,1,1,1,1,0,2,-0.27551426928426365,1,3,1,3,14,-0.17473311238742065,1,4,4,7,6,0,3,0,1,-1.0742859917743628,1,-0.7496805831385975,6,1,-0.04954381813333732,1.5361691995374025,0.5552454551813382,2.393204612941731
2,4,2,2,1,3,2,4,0,2,0.62802253045273,1,4,2,2,6,-0.17473311238742065,2,4,3,8,7,0,2,0,1,-1.0742859917743628,3,-0.5651132209342303,23,24,-1.1664527006153784,1.3852656724464862,1.4619134917214371,-0.48820366403845433
12,3,2,5,1,1,1,2,0,2,-1.028461602398425,1,8,3,6,14,-0.17473311238742065,2,4,0,6,5,0,1,0,1,-1.0742859917743628,3,-0.30166476982677126,16,8,-0.04954381813333732,0.4546939220525016,0.5348381360309179,-0.3116271122457967
2,1,6,1,1,1,10,3,0,2,-0.20021953597284753,2,5,2,3,14,-0.17473311238742065,3,4,3,7,6,0,0,0,1,-1.0742859917743628,2,2.36007394007319,6,15,-1.1664527006153784,1.438710671624519,0.7826412971431637,1.518348060878109
12,4,6,6,1,1,1,2,0,2,-0.8025774024641766,2,4,2,1,16,-0.17473311238742065,4,4,0,6,5,0,1,0,1,-1.0742859917743628,3,0.13652157133083428,27,8,-0.04954381813333732,0.42011186376083326,0.5348381360309179,-0.3999153881421255
12,4,1,3,1,2,1,1,0,1,-0.42610373590709594,1,5,2,2,2,-0.17473311238742065,4,4,1,6,5,0,0,0,1,-1.0742859917743628,2,1.0586343872932014,22,2,-0.04954381813333732,0.43583098116613705,0.5523301238741353,-0.4079415950417918
9,5,5,3,1,1,10,1,0,1,-1.1037563357098412,1,5,2,6,5,-0.17473311238742065,4,4,3,5,4,0,2,0,1,-1.0742859917743628,2,-0.8434761149934007,30,1,-1.1664527006153784,0.69676833009418,0.8234559354440041,-0.48820366403845433
1,5,2,3,1,2,1,5,0,2,2.209211929992469,1,3,1,2,3,6.407639671848812,4,4,4,8,9,0,1,0,1,-1.0742859917743628,1,1.389673439632222,30,30,-1.1664527006153784,1.4607174359919444,1.5347967744015094,-0.4962298709381206
1,5,2,1,1,4,2,2,0,2,2.0586224633696366,1,5,2,2,11,-0.17473311238742065,1,4,1,8,9,0,1,0,1,-1.0742859917743628,2,-0.7692183188788623,30,11,-1.1664527006153784,1.4607174359919444,1.4998127987150747,-0.3999153881421255
10,3,2,13,1,3,10,4,0,2,-1.028461602398425,2,5,2,3,5,-0.17473311238742065,2,3,0,7,5,0,0,0,5,-1.0742859917743628,2,1.2905172327144039,16,24,-1.1664527006153784,0.6464671543972078,0.7564033153783376,-0.4320202157407906
10,3,2,12,1,2,10,5,1,1,-0.7272826691527605,1,5,2,6,14,-0.17473311238742065,1,4,3,6,5,0,2,0,1,-1.0742859917743628,2,-0.7807711236009247,16,30,-1.1664527006153784,0.6464671543972078,0.7389113275351202,-0.38386297434279304
12,4,4,6,2,3,1,1,0,2,0.10095939727281704,1,5,2,2,1,-0.17473311238742065,2,4,1,7,6,0,2,0,1,-1.0742859917743628,2,-0.7145286511007881,25,3,-0.04954381813333732,0.42639951072295473,0.5494147925669324,-0.4239940088411243
1,3,1,6,1,6,1,4,0,2,1.0797909303212267,1,4,2,2,7,-0.17473311238742065,2,4,0,8,7,0,2,0,1,-1.0742859917743628,3,1.9272435703625213,15,27,-1.1664527006153784,1.5078747882078558,1.543542768323118,-0.3999153881421255
8,3,3,3,1,3,1,3,1,1,-1.2543458023326735,1,3,1,2,12,-0.17473311238742065,3,4,4,5,4,0,1,0,1,-1.0742859917743628,1,2.1082220734989856,17,17,-0.04954381813333732,0.8350965632608534,0.508600154266092,0.7317797847108163
12,5,5,3,1,2,1,1,0,2,-0.8025774024641766,2,2,1,6,12,-0.17473311238742065,2,4,3,7,5,0,3,0,1,-1.0742859917743628,2,-0.6083173818818268,31,2,-0.04954381813333732,0.4075365698365902,0.5523301238741353,-0.48017745713878807
12,5,5,6,1,1,1,1,0,1,0.32684359720706546,1,3,1,2,9,2.0193911490246568,2,4,1,8,6,0,3,3,1,-1.0742859917743628,1,-0.7734059844552215,31,1,-0.04954381813333732,0.4075365698365902,0.5552454551813382,-0.48820366403845433
12,5,6,12,1,3,1,1,0,2,0.7033172637641462,1,5,2,6,5,-0.17473311238742065,3,4,1,8,7,0,3,0,1,-1.0742859917743628,2,-0.7835263571730672,31,3,-0.04954381813333732,0.4075365698365902,0.5494147925669324,-0.4721512502391218
12,5,6,2,1,2,1,1,1,2,0.5527277971413138,1,5,2,2,12,-0.17473311238742065,1,4,3,7,7,0,0,0,1,-1.0742859917743628,2,2.0197673167930197,31,2,-0.04954381813333732,0.4075365698365902,0.5523301238741353,-0.48017745713878807
8,3,4,3,1,4,8,3,0,2,0.7786119970755623,1,5,2,2,16,-0.17473311238742065,3,4,1,7,7,0,3,0,1,-1.0742859917743628,2,-0.668020018949728,18,18,-1.1664527006153784,0.8319527397797927,0.9517305129609313,-0.4962298709381206
12,4,1,12,1,1,1,1,0,2,-1.028461602398425,2,5,2,6,5,-0.17473311238742065,2,4,1,5,5,0,0,0,1,-1.0742859917743628,2,-0.7690898739782569,22,1,-0.04954381813333732,0.43583098116613705,0.5552454551813382,-0.41596780194145805
1,2,5,5,1,3,1,2,1,2,-0.501398469218512,1,3,1,2,2,-0.17473311238742065,3,4,3,3,5,0,2,0,1,-1.0742859917743628,1,-0.7836150022453159,12,10,-0.04954381813333732,1.517306258651038,0.5290074734165122,2.4172832336407297
1,2,1,2,2,1,1,2,0,2,0.7786119970755623,1,5,2,2,7,-0.17473311238742065,4,4,0,8,7,0,1,0,1,-1.0742859917743628,2,0.9663378617009571,8,8,-1.1664527006153784,1.5298815525752811,1.5989340631599729,-0.4962298709381206
12,4,2,6,1,5,1,4,0,2,-0.7272826691527605,1,3,1,2,4,-0.17473311238742065,2,4,4,7,5,0,1,0,1,-1.0742859917743628,1,1.5700607344092796,23,26,-0.04954381813333732,0.43268715768507626,0.48236217250126595,-0.22333883634946797
12,5,2,1,1,2,1,1,0,2,-0.501398469218512,1,4,2,1,8,-0.17473311238742065,4,4,0,6,5,0,1,0,1,-1.0742859917743628,3,-0.5439440540479658,30,2,-0.04954381813333732,0.41068039331765094,0.5523301238741353,-0.4721512502391218
1,1,1,3,1,1,1,1,1,1,-0.12492480266143138,1,3,1,3,1,-0.17473311238742065,1,4,3,8,6,0,2,0,1,-1.0742859917743628,1,-0.7066045052749852,1,1,-1.1664527006153784,1.5518883169427065,1.6193413823103933,-0.4962298709381206
1,1,4,5,1,5,1,2,0,2,-0.27551426928426365,1,3,1,3,1,-0.17473311238742065,2,4,4,7,6,0,3,0,1,-1.0742859917743628,1,-0.782057019873465,4,12,-1.1664527006153784,1.542456846499524,1.5872727379311613,-0.4320202157407906
12,5,3,6,1,3,1,1,0,1,0.2515488638956493,1,5,2,4,1,-0.17473311238742065,4,4,3,7,6,0,3,0,1,-1.0742859917743628,2,-0.5721375288225523,31,3,-0.04954381813333732,0.4075365698365902,0.5494147925669324,-0.4721512502391218
12,5,4,6,1,1,1,3,0,1,-1.4049352689555057,2,5,2,2,7,-0.17473311238742065,3,4,3,3,4,0,0,0,1,-1.0742859917743628,2,-0.6310883109511347,31,15,-0.04954381813333732,0.4075365698365902,0.5144308168804977,-0.3758367674431268
4,1,1,6,2,1,4,1,0,2,0.5527277971413138,1,3,1,2,5,-0.17473311238742065,4,4,4,6,7,0,2,0,1,-1.0742859917743628,1,-0.773052127799469,1,1,-1.1664527006153784,1.268944203647238,1.3569615646621331,-0.4962298709381206
3,2,5,9,1,5,3,2,1,1,-0.501398469218512,1,3,1,2,13,-0.17473311238742065,2,4,4,6,5,0,3,0,1,-1.0742859917743628,1,1.8072391279016413,12,12,-1.1664527006153784,1.3318206732684532,1.4152681908061908,-0.4962298709381206
4,1,3,1,1,4,4,2,0,1,-0.3508090025956798,1,5,2,3,15,-0.17473311238742065,3,4,0,7,5,0,2,0,1,-1.0742859917743628,2,-0.441907063190371,3,11,-1.1664527006153784,1.2626565566851167,1.3278082515901042,-0.4320202157407906
5,4,4,6,1,4,5,4,0,2,0.17625413058423317,1,5,2,2,14,-0.17473311238742065,1,4,0,7,6,0,0,0,1,-1.0742859917743628,2,-0.7323636778206323,25,25,-1.1664527006153784,1.099177735669957,1.199533674073177,-0.4962298709381206
4,4,7,3,1,1,4,4,1,1,-0.5766932025299282,1,3,1,2,2,-0.17473311238742065,1,4,3,5,5,0,0,0,1,-1.0742859917743628,1,1.2126427176521128,28,22,-0.04954381813333732,1.1840609696585975,0.23164368008181735,2.385178406042065
4,2,3,1,1,3,4,4,0,2,0.9292014636983945,1,4,2,2,8,-0.17473311238742065,2,4,0,8,7,0,0,0,1,-1.0742859917743628,3,0.9581474188417862,10,24,-1.1664527006153784,1.2406497923176913,1.2899089445964667,-0.38386297434279304
6,2,1,3,1,2,6,2,1,1,-0.27551426928426365,1,3,1,3,1,-0.17473311238742065,2,4,3,7,6,0,3,0,1,-1.0742859917743628,1,2.3052080676004825,8,9,-1.1664527006153784,1.0551642069351066,1.1558037044651337,-0.48820366403845433
11,2,5,1,2,2,11,3,1,2,0.47743306382989775,1,5,2,3,7,-0.17473311238742065,2,4,0,7,7,0,2,0,1,-1.0742859917743628,2,-0.793039963416785,12,16,-1.1664527006153784,0.5615839204085674,0.6893506953126711,-0.4641250433394556
11,1,5,6,1,2,11,2,1,2,-0.7272826691527605,1,5,2,2,1,-0.17473311238742065,1,4,3,6,5,0,0,0,1,-1.0742859917743628,2,-0.8191562489677774,5,9,-1.1664527006153784,0.5835906847759927,0.7097580144630914,-0.4641250433394556
6,4,3,2,1,4,6,4,0,2,1.5315593301897237,1,5,2,2,8,-0.17473311238742065,4,4,3,8,8,0,0,0,1,-1.0742859917743628,2,2.513457413126903,24,25,-1.1664527006153784,1.0048630312381344,1.1091584035498874,-0.48820366403845433
3,5,4,1,1,4,3,5,0,2,-0.9531668690870089,1,5,2,3,9,-0.17473311238742065,4,4,4,7,5,0,3,0,1,-1.0742859917743628,2,-0.5756196519871352,31,31,-1.1664527006153784,1.2720880271282988,1.359876895969336,-0.4962298709381206
2,4,2,6,1,5,2,4,0,2,0.5527277971413138,2,5,2,6,3,-0.17473311238742065,2,4,3,8,7,0,3,0,1,-1.0742859917743628,2,0.9702599538771911,23,26,-1.1664527006153784,1.3852656724464862,1.4560828291070314,-0.4721512502391218
8,5,2,4,2,4,9,1,0,2,0.8539067303869784,1,4,2,4,10,-0.17473311238742065,2,4,1,8,7,0,3,0,1,-1.0742859917743628,3,1.1900020425665174,30,4,-1.1664527006153784,0.7942268580070635,0.9021698807384821,-0.4560988364397893
3,3,6,1,1,4,3,4,0,1,-2.9861246684952447,1,4,2,6,6,-0.17473311238742065,2,4,1,8,1,0,0,0,1,-1.0742859917743628,3,-0.7639770433009169,20,25,-1.1664527006153784,1.306670085419967,1.3773688838125533,-0.4560988364397893
3,1,5,2,2,7,3,1,0,2,-0.27551426928426365,1,4,2,1,14,2.0193911490246568,4,4,1,7,6,0,1,3,2,-1.0742859917743628,3,-0.8430488095634991,5,7,-1.1664527006153784,1.3538274376358785,1.4298448473422054,-0.48017745713878807
8,1,2,12,1,3,8,1,0,1,-0.6519879358413444,1,5,2,6,8,-0.17473311238742065,4,4,0,6,5,0,0,0,1,-1.0742859917743628,2,-0.8573749386887751,2,3,-1.1664527006153784,0.8822539154767648,0.9954604825689747,-0.48820366403845433
6,3,1,2,1,3,6,5,1,2,-0.3508090025956798,2,3,1,6,3,-0.17473311238742065,3,4,0,7,5,0,3,2,1,-1.0742859917743628,1,-0.7105385373997263,15,30,-1.1664527006153784,1.0331574425676813,1.094581747013873,-0.3758367674431268
5,4,5,3,1,5,5,4,0,2,-0.20021953597284753,2,3,1,2,14,-0.17473311238742065,4,4,1,7,6,0,2,0,1,-1.0742859917743628,1,1.7149368132434544,26,26,-1.1664527006153784,1.0960339121888965,1.196618342765974,-0.4962298709381206
3,3,6,1,1,1,3,3,0,1,-0.6519879358413444,1,4,2,6,10,-0.17473311238742065,4,4,0,6,5,0,3,0,1,-1.0742859917743628,3,-0.37618415935859906,20,15,-0.04954381813333732,1.306670085419967,0.3424262697555272,2.393204612941731
7,2,5,3,1,1,7,2,0,1,-0.3508090025956798,1,4,2,2,12,-0.17473311238742065,4,4,0,6,5,0,3,0,1,-1.0742859917743628,3,1.0728675295467713,12,8,-0.04954381813333732,0.9482742085790407,0.007163169427194786,2.4012308198413974
1,1,2,1,1,3,1,4,0,1,-0.8778721357755928,1,4,2,6,7,-0.17473311238742065,3,4,0,8,5,0,0,0,1,-1.0742859917743628,3,-0.837202576594533,2,24,-1.1664527006153784,1.5487444934616457,1.5522887622447268,-0.31965331914546297
6,5,3,5,1,6,7,1,0,2,1.0044961970098107,2,3,1,5,8,-0.17473311238742065,2,4,3,7,7,0,2,0,1,-1.0742859917743628,1,1.7360166114242273,30,6,-1.1664527006153784,0.9860000903517698,1.0770897591706556,-0.44807262954012306
5,1,5,4,2,1,5,2,0,1,-0.8025774024641766,2,3,1,2,11,-0.17473311238742065,3,4,3,6,5,1,1,0,1,-1.0742859917743628,1,-0.8311956970456549,5,8,-1.1664527006153784,1.1620542052911722,1.2490943062956261,-0.4721512502391218
7,2,4,5,1,5,7,2,0,1,-1.3296405356440897,2,4,2,2,6,-0.17473311238742065,2,4,3,4,4,0,0,0,1,-1.0742859917743628,3,-0.6522755686684706,11,12,-1.1664527006153784,0.9514180320601014,1.0595977713274383,-0.48820366403845433
8,2,2,6,1,5,8,2,0,2,-0.42610373590709594,2,3,1,2,7,-0.17473311238742065,4,4,3,6,5,0,3,0,1,-1.0742859917743628,1,-0.7077116641365421,9,12,-1.1664527006153784,0.8602471511093395,0.9692225008041486,-0.4721512502391218
3,1,5,3,1,3,3,2,0,2,0.47743306382989775,1,3,1,2,5,-0.17473311238742065,4,4,4,7,7,0,0,4,2,-1.0742859917743628,1,-0.827677754035551,5,10,-1.1664527006153784,1.3538274376358785,1.4210988534205966,-0.4560988364397893
7,1,1,5,1,4,7,1,0,2,-0.5766932025299282,1,3,1,6,4,-0.17473311238742065,3,4,4,6,5,0,1,0,1,-1.0742859917743628,1,-0.809465352579562,1,4,-1.1664527006153784,0.982856266870709,1.0829204217850614,-0.4721512502391218
11,2,3,6,1,2,11,3,1,2,-0.8025774024641766,2,5,2,3,10,2.0193911490246568,2,4,3,6,5,0,0,3,1,-1.0742859917743628,2,0.9915716765122969,10,16,-1.1664527006153784,0.5678715673706889,0.6893506953126711,-0.44807262954012306
9,2,1,3,1,3,9,3,0,2,-0.42610373590709594,2,4,2,2,11,-0.17473311238742065,2,4,1,6,5,0,1,0,1,-1.0742859917743628,3,-0.713773901628498,8,17,-1.1664527006153784,0.7659324466775167,0.8642705737448446,-0.4239940088411243
7,4,5,9,2,1,8,2,0,2,0.10095939727281704,1,5,2,6,7,-0.17473311238742065,3,4,3,3,6,0,1,0,1,-1.0742859917743628,2,1.0937468813192754,26,8,-1.1664527006153784,0.9042606798441901,0.9808838260329602,-0.3918891812424593
